NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
85	10	104	0.15556	0.10219	7	0.020779	0.021139
86	17	222	0.073529	0.074074	10	0.039131	0.043155
87	13	133	0.11538	0.11538	9	0.022131	0.026088
88	13	161	0.076923	0.062827	6	0.029747	0.032588
89	10	146	0.088889	0.045455	4	0.024165	0.027646
90	17	209	0.10294	0.10448	14	0.041945	0.043535
91	10	101	0.066667	0.054054	3	0.015816	0.01939
92	9	90	0.11111	0.078431	4	0.014872	0.018179
93	13	127	0.038462	0.043165	3	0.023998	0.027927
94	7	116	0.047619	0.015504	1	0.01893	0.024744
95	14	185	0.054945	0.047847	5	0.033875	0.038923
96	11	152	0.10909	0.067416	6	0.03004	0.033197
97	16	194	0.066667	0.068085	8	0.037891	0.041355
98	9	119	0.055556	0.030769	2	0.022142	0.026587
99	6	66	0.13333	0.054795	2	0.013198	0.014744
100	8	100	0.10714	0.05042	3	0.021104	0.023121
101	18	186	0.071895	0.092437	11	0.045821	0.042605
102	10	163	0.11111	0.05102	5	0.036505	0.037609
103	13	162	0.10256	0.085106	8	0.034031	0.036837
104	11	111	0.10909	0.084507	6	0.027656	0.025317
105	15	195	0.10476	0.083019	11	0.048528	0.043093
106	7	86	0	0	0	0.016908	0.019851
107	10	151	0.15556	0.072917	7	0.033219	0.032938
108	34	358	0.057041	0.12749	32	0.091679	0.072655
109	32	293	0.048387	0.11679	24	0.073108	0.058556
110	9	144	0.27778	0.10309	10	0.031479	0.029203
111	36	317	0.039683	0.1139	25	0.080413	0.063669
112	8	122	0.21429	0.083333	6	0.023126	0.0264
113	16	172	0.05	0.060606	6	0.030062	0.034172
114	14	150	0.065934	0.069364	6	0.02382	0.027901
115	5	45	0.1	0.041667	1	0.0070707	0.009007
116	7	84	0.14286	0.06383	3	0.014601	0.017759
117	10	110	0.13333	0.085106	6	0.02223	0.022335
118	11	134	0.054545	0.03681	3	0.022251	0.025283
119	8	86	0.17857	0.097087	5	0.013719	0.016411
120	10	104	0.11111	0.082645	5	0.017883	0.021211
121	10	91	0.13333	0.10526	6	0.019362	0.019896
122	18	209	0.058824	0.072874	9	0.041543	0.045208
123	13	156	0.089744	0.074074	7	0.031144	0.033326
124	10	136	0.066667	0.041096	3	0.019455	0.025842
125	5	68	0	0	0	0.00967	0.014143
126	9	80	0.055556	0.047059	2	0.01256	0.015915
127	9	102	0.027778	0.018349	1	0.016496	0.020375
128	13	122	0.089744	0.092105	7	0.027125	0.026327
129	8	101	0.10714	0.05	3	0.0182	0.021729
130	8	115	0.035714	0.015873	1	0.019889	0.024651
131	8	121	0	0	0	0.021417	0.027247
132	12	149	0.030303	0.02454	2	0.026705	0.031955
133	6	70	0.066667	0.025	1	0.013647	0.015723
134	17	239	0.073529	0.068729	10	0.049902	0.0526
135	10	110	0.15556	0.10145	7	0.024842	0.024693
136	9	95	0.25	0.13636	9	0.025497	0.022811
137	17	242	0.10294	0.090909	14	0.054366	0.052786
138	14	153	0.14286	0.13684	13	0.034896	0.03389
139	14	162	0.13187	0.11823	12	0.037438	0.036621
140	18	213	0.098039	0.10526	15	0.053657	0.047058
141	28	279	0.10317	0.18886	39	0.075815	0.058203
142	14	174	0.098901	0.084507	9	0.03605	0.037151
143	9	90	0.11111	0.074766	4	0.016829	0.017998
144	6	58	0.2	0.092308	3	0.0090777	0.010657
145	11	134	0.072727	0.056338	4	0.023096	0.028351
146	7	73	0.19048	0.093023	4	0.011189	0.013205
147	12	153	0.13636	0.094241	9	0.029926	0.031626
148	19	164	0.12865	0.17959	22	0.038564	0.033038
149	8	113	0.14286	0.057143	4	0.018998	0.021643
150	11	107	0.072727	0.059259	4	0.021663	0.022519
151	9	126	0.13889	0.068493	5	0.02153	0.025452
152	10	149	0.13333	0.072289	6	0.026232	0.031381
153	8	102	0.17857	0.082645	5	0.019693	0.021527
154	28	311	0.068783	0.12178	26	0.073247	0.06343
155	7	110	0.19048	0.0625	4	0.019777	0.022525
156	14	170	0.054945	0.053191	5	0.030176	0.036373
157	9	73	0.083333	0.077922	3	0.01167	0.015078
158	7	68	0.095238	0.051948	2	0.012008	0.014634
159	14	197	0.076923	0.058333	7	0.037323	0.040538
160	12	155	0.090909	0.064865	6	0.031567	0.034616
161	8	90	0.21429	0.10714	6	0.018791	0.020146
162	15	223	0.038095	0.031621	4	0.04172	0.048152
163	25	244	0.02	0.042105	6	0.054542	0.053496
164	13	165	0.10256	0.082474	8	0.03053	0.034741
165	7	76	0.047619	0.025316	1	0.012123	0.015827
166	13	169	0.038462	0.032258	3	0.031303	0.03603
167	23	224	0.079051	0.12618	20	0.05986	0.049583
168	7	90	0.42857	0.14286	9	0.023166	0.020848
169	19	182	0.11696	0.15385	20	0.047493	0.039209
170	11	140	0.16364	0.094241	9	0.034022	0.030377
171	21	204	0.095238	0.13937	20	0.055548	0.044755
172	12	141	0.21212	0.14286	14	0.03592	0.031048
173	14	206	0.1978	0.12457	18	0.051306	0.044187
174	11	138	0.10909	0.071856	6	0.029506	0.029704
175	9	78	0.11111	0.080808	4	0.017161	0.016407
176	9	105	0.16667	0.10169	6	0.0168	0.021277
177	8	102	0.14286	0.070175	4	0.016674	0.021181
178	13	164	0.051282	0.043716	4	0.026007	0.031053
179	20	162	0.078947	0.14085	15	0.03507	0.03204
180	12	199	0.19697	0.10117	13	0.040811	0.041394
181	28	259	0.063492	0.12903	24	0.062309	0.051982
182	5	94	0.5	0.083333	5	0.01837	0.020212
183	19	171	0.040936	0.063063	7	0.034261	0.032282
184	9	110	0.083333	0.044118	3	0.022497	0.022757
185	11	131	0.10909	0.072727	6	0.02664	0.02619
186	23	204	0.055336	0.10728	14	0.044204	0.04057
187	9	100	0.027778	0.019608	1	0.01493	0.019545
188	8	72	0.071429	0.054054	2	0.01115	0.014815
189	7	66	0.2381	0.12821	5	0.010856	0.013241
190	12	164	0.045455	0.032609	3	0.026303	0.033284
191	10	142	0.044444	0.025478	2	0.027576	0.031282
192	24	230	0.057971	0.10323	16	0.051183	0.047666
193	7	100	0.095238	0.033898	2	0.018401	0.021522
194	11	133	0.072727	0.050955	4	0.026982	0.029563
195	6	77	0.2	0.069767	3	0.013745	0.017012
196	14	183	0.087912	0.068966	8	0.03656	0.0397
197	8	98	0.10714	0.054054	3	0.01863	0.021868
198	14	175	0.065934	0.060914	6	0.032543	0.037258
199	7	121	0.14286	0.045113	3	0.022706	0.027638
200	17	201	0.073529	0.082645	10	0.046954	0.04604
201	9	136	0.16667	0.074074	6	0.026145	0.029065
202	9	100	0.13889	0.084746	5	0.020597	0.022104
203	12	184	0.045455	0.029412	3	0.03471	0.040606
204	10	138	0.13333	0.071856	6	0.03048	0.029667
205	26	237	0.043077	0.090032	14	0.055281	0.048147
206	7	81	0.095238	0.044444	2	0.015846	0.017649
207	9	98	0.11111	0.074766	4	0.015865	0.019863
208	6	60	0.2	0.090909	3	0.008759	0.011224
209	7	67	0.047619	0.029412	1	0.0097809	0.013167
210	6	61	0.066667	0.030769	1	0.010094	0.012592
211	12	158	0.10606	0.075269	7	0.028262	0.031861
212	21	289	0.080952	0.090909	17	0.061049	0.059499
213	14	142	0.065934	0.070175	6	0.028263	0.028963
214	27	269	0.065527	0.12105	23	0.064119	0.053648
215	6	133	0.26667	0.052632	4	0.02312	0.028022
216	16	240	0.14167	0.10759	17	0.053657	0.051402
217	8	136	0.10714	0.038217	3	0.02545	0.028593
218	9	134	0.22222	0.088889	8	0.027721	0.026559
219	7	66	0	0	0	0.011313	0.014176
220	8	123	0	0	0	0.020884	0.02643
221	10	158	0.17778	0.079208	8	0.031631	0.032498
222	14	160	0	0	0	0.028945	0.033289
223	9	133	0.11111	0.052288	4	0.022059	0.026797
224	10	130	0.13333	0.077922	6	0.022278	0.026655
225	26	211	0.049231	0.11268	16	0.047714	0.043266
226	13	116	0.10256	0.11111	8	0.022497	0.024415
227	8	105	0.071429	0.032787	2	0.017599	0.021404
228	11	166	0.090909	0.051546	5	0.028442	0.033571
229	9	111	0.13889	0.08	5	0.021228	0.024998
230	23	246	0.067194	0.10794	17	0.05564	0.054467
231	11	135	0.2	0.13018	11	0.028029	0.029491
232	11	149	0.054545	0.037037	3	0.025925	0.031493
233	19	197	0.093567	0.13061	16	0.04198	0.04198
234	7	84	0.28571	0.11765	6	0.014776	0.016922
235	15	142	0.095238	0.10929	10	0.030122	0.029114
236	12	180	0.13636	0.077922	9	0.036783	0.037518
237	14	192	0.13187	0.09375	12	0.041406	0.037974
238	11	176	0.072727	0.039216	4	0.036676	0.039935
239	8	91	0.14286	0.073394	4	0.018845	0.019931
240	7	92	0.19048	0.072727	4	0.016356	0.019027
241	21	223	0.057143	0.089888	12	0.038601	0.042649
242	12	124	0.16667	0.13836	11	0.022052	0.023783
243	15	170	0.10476	0.10329	11	0.029807	0.03256
244	10	105	0.022222	0.016529	1	0.021097	0.023236
245	14	162	0.065934	0.061538	6	0.033959	0.033904
246	12	185	0.060606	0.038278	4	0.033613	0.038719
247	40	405	0.028205	0.083333	22	0.09378	0.080578
248	11	182	0.23636	0.11207	13	0.03688	0.037059
249	35	305	0.062185	0.16972	37	0.07893	0.061192
250	36	332	0.055556	0.14768	35	0.085058	0.067544
251	5	57	0.4	0.11429	4	0.010632	0.011956
252	10	118	0.2	0.11765	9	0.0249	0.025441
253	9	137	0.25	0.10465	9	0.026374	0.02847
254	6	85	0.13333	0.042553	2	0.013364	0.017607
255	30	261	0.03908	0.10089	17	0.059098	0.054086
256	15	174	0.057143	0.058252	6	0.031777	0.03526
257	13	187	0.10256	0.073059	8	0.032529	0.038407
258	6	89	0	0	0	0.013953	0.018897
259	15	163	0.019048	0.023669	2	0.025255	0.031943
260	6	75	0.13333	0.045977	2	0.013089	0.016105
261	8	86	0.14286	0.079208	4	0.016291	0.019645
262	9	139	0.083333	0.04	3	0.025076	0.031695
263	10	106	0.13333	0.096	6	0.019882	0.022241
264	5	51	0	0	0	0.008744	0.011208
265	9	112	0.13889	0.08	5	0.018865	0.022836
266	9	88	0.083333	0.06	3	0.015447	0.017989
267	6	61	0.2	0.075949	3	0.011783	0.012576
268	19	185	0.046784	0.067227	8	0.039864	0.039414
269	7	75	0.047619	0.023256	1	0.014818	0.016807
270	7	88	0.14286	0.060606	3	0.016537	0.018837
271	10	139	0.022222	0.013699	1	0.022126	0.029016
272	12	158	0.045455	0.034091	3	0.028131	0.033354
273	10	125	0.13333	0.07947	6	0.020825	0.02522
274	13	107	0.089744	0.10769	7	0.017484	0.019731
275	6	53	0.2	0.089552	3	0.0083917	0.0098485
276	9	96	0.055556	0.036697	2	0.01512	0.018612
277	7	124	0.095238	0.030534	2	0.017893	0.024206
278	9	134	0.055556	0.026846	2	0.023496	0.027661
279	8	96	0.071429	0.037736	2	0.016726	0.020329
280	11	144	0.2	0.11765	11	0.030931	0.029436
281	15	194	0.085714	0.076923	9	0.037006	0.039181
282	7	103	0.19048	0.067797	4	0.017508	0.020792
283	8	91	0.17857	0.092593	5	0.015709	0.018863
284	12	143	0.10606	0.084337	7	0.02493	0.029186
285	14	132	0.065934	0.076923	6	0.022834	0.025966
286	9	91	0.11111	0.073394	4	0.015814	0.018802
287	8	110	0.10714	0.048	3	0.018739	0.02325
288	9	100	0.055556	0.035714	2	0.016853	0.020581
289	10	138	0.088889	0.050633	4	0.023255	0.02845
290	9	143	0.055556	0.026316	2	0.02326	0.030473
291	16	163	0.058333	0.073298	7	0.029246	0.033735
292	23	206	0.031621	0.0625	8	0.044194	0.042761
293	11	148	0.090909	0.061728	5	0.023214	0.030764
294	8	103	0.10714	0.053097	3	0.018813	0.023501
295	10	178	0.044444	0.020101	2	0.030721	0.037781
296	14	161	0.065934	0.060914	6	0.031992	0.034946
297	8	108	0.14286	0.067227	4	0.018169	0.022607
298	16	139	0.083333	0.11765	10	0.024398	0.027148
299	8	84	0.28571	0.14545	8	0.015539	0.016218
300	10	118	0.066667	0.044118	3	0.020538	0.02497
301	15	188	0.028571	0.029557	3	0.028181	0.036029
302	14	116	0.043956	0.061538	4	0.017862	0.021599
303	15	153	0.057143	0.067416	6	0.027824	0.031208
304	12	190	0.075758	0.045872	5	0.030435	0.037878
305	15	143	0.038095	0.048193	4	0.025219	0.028694
306	8	91	0.10714	0.059406	3	0.012736	0.017081
307	5	34	0	0	0	0.0043057	0.006101
308	10	105	0.044444	0.035398	2	0.015868	0.02044
309	12	116	0.075758	0.076336	5	0.017176	0.021298
310	8	115	0.035714	0.014815	1	0.020257	0.023598
311	6	54	0.066667	0.032787	1	0.0092609	0.010527
312	12	178	0.13636	0.080717	9	0.033676	0.035441
313	8	103	0.10714	0.051724	3	0.017673	0.020391
314	14	176	0.032967	0.029412	3	0.032481	0.036187
315	8	91	0.071429	0.039216	2	0.014457	0.017632
316	9	144	0.055556	0.025974	2	0.022623	0.029477
317	9	146	0.083333	0.034682	3	0.022405	0.028569
318	9	105	0.11111	0.0625	4	0.016355	0.019158
319	7	109	0	0	0	0.017321	0.023219
320	8	93	0.14286	0.074074	4	0.013724	0.017496
321	12	118	0.090909	0.088235	6	0.021871	0.025566
322	9	121	0.11111	0.06015	4	0.019522	0.024969
323	8	116	0.071429	0.032	2	0.020065	0.02549
324	7	86	0	0	0	0.014064	0.018016
325	6	65	0.066667	0.029412	1	0.010999	0.014333
326	12	117	0.060606	0.066116	4	0.019055	0.024738
327	8	106	0.10714	0.052632	3	0.016871	0.021759
328	16	150	0.1	0.12308	12	0.029913	0.029595
329	16	180	0.091667	0.09607	11	0.035718	0.03759
330	25	214	0.086667	0.16301	26	0.050664	0.042832
331	18	192	0.11111	0.13077	17	0.040433	0.039072
332	17	163	0.051471	0.073298	7	0.031126	0.033732
333	8	98	0.071429	0.036364	2	0.016433	0.020084
334	6	55	0	0	0	0.00827	0.010918
335	16	189	0.058333	0.062222	7	0.033383	0.038032
336	12	153	0.10606	0.08	7	0.025991	0.031328
337	9	109	0.19444	0.095238	7	0.020554	0.021709
338	8	91	0.071429	0.040404	2	0.013726	0.017946
339	7	74	0.047619	0.026667	1	0.010054	0.014033
340	7	76	0.14286	0.074074	3	0.011724	0.015378
341	10	105	0.066667	0.048387	3	0.017655	0.020618
342	15	170	0.019048	0.021739	2	0.025726	0.031794
343	4	40	0.16667	0.044444	1	0.0059668	0.0074877
344	9	100	0.16667	0.10435	6	0.017926	0.0205
345	10	148	0.066667	0.035928	3	0.024659	0.029794
346	8	125	0.035714	0.015152	1	0.020874	0.026968
347	6	68	0.066667	0.026667	1	0.0094234	0.012757
348	8	104	0.071429	0.033613	2	0.015792	0.019988
349	15	170	0.085714	0.086957	9	0.029977	0.034152
350	33	257	0.035985	0.11801	19	0.050388	0.050154
351	11	136	0.072727	0.053333	4	0.020639	0.026963
352	5	57	0	0	0	0.0083607	0.01106
353	7	66	0	0	0	0.01149	0.014454
354	11	148	0.072727	0.050955	4	0.022806	0.029604
355	7	96	0.047619	0.018349	1	0.01803	0.020453
356	8	97	0.10714	0.049587	3	0.019003	0.020703
357	24	242	0.065217	0.11392	18	0.052955	0.050743
358	12	168	0.13636	0.085714	9	0.031229	0.033976
359	17	174	0.073529	0.092166	10	0.03561	0.037037
360	9	130	0.25	0.10588	9	0.025633	0.026699
361	10	94	0.15556	0.11966	7	0.018454	0.019266
362	7	72	0.14286	0.065217	3	0.012837	0.013667
363	10	116	0.15556	0.091503	7	0.022491	0.023146
364	13	139	0.14103	0.11957	11	0.027969	0.028325
365	7	75	0.047619	0.022727	1	0.012973	0.014991
366	7	72	0.047619	0.025	1	0.012782	0.015084
367	7	105	0.095238	0.03252	2	0.016374	0.020147
368	17	179	0.088235	0.10811	12	0.032929	0.035364
369	10	124	0.17778	0.10323	8	0.01948	0.023038
370	10	121	0.022222	0.015504	1	0.016844	0.023264
371	5	40	0	0	0	0.005145	0.0074378
372	9	136	0	0	0	0.021262	0.02832
373	6	92	0	0	0	0.011655	0.017105
374	12	108	0.015152	0.016	1	0.01776	0.021925
375	19	216	0.040936	0.054054	7	0.036779	0.041058
376	13	143	0.038462	0.037267	3	0.023303	0.027576
377	9	120	0.055556	0.030534	2	0.017231	0.023055
378	6	39	0.13333	0.085106	2	0.006867	0.0079218
379	10	112	0.022222	0.016667	1	0.017306	0.022401
380	6	64	0.13333	0.057971	2	0.0092696	0.012571
381	6	50	0.066667	0.037037	1	0.0080933	0.010169
382	8	125	0.071429	0.028369	2	0.018752	0.024681
383	6	89	0.13333	0.042105	2	0.013167	0.018006
384	11	155	0.018182	0.011765	1	0.026173	0.032649
385	8	105	0	0	0	0.017133	0.022822
386	13	143	0.064103	0.060976	5	0.02653	0.030426
387	12	139	0.13636	0.098361	9	0.027941	0.028554
388	19	182	0.052632	0.082949	9	0.036568	0.037819
389	19	197	0.070175	0.097561	12	0.044278	0.043841
390	12	167	0.10606	0.069652	7	0.033301	0.037029
391	30	303	0.022989	0.051282	10	0.070037	0.063002
392	19	232	0.076023	0.086379	13	0.050872	0.049108
393	9	99	0.16667	0.093023	6	0.019977	0.020352
394	10	129	0.044444	0.026316	2	0.021391	0.025718
395	16	188	0.13333	0.13278	16	0.038886	0.038881
396	31	248	0.03871	0.10876	18	0.057486	0.050705
397	11	148	0.14545	0.087912	8	0.028101	0.0308
398	11	147	0.036364	0.023256	2	0.025506	0.030103
399	20	192	0.063158	0.099585	12	0.036781	0.037928
400	6	87	0.2	0.06	3	0.013135	0.016934
401	9	83	0.083333	0.061856	3	0.014829	0.017259
402	10	96	0.022222	0.019231	1	0.013246	0.017318
403	9	87	0.11111	0.076923	4	0.013362	0.016182
404	9	111	0.027778	0.016807	1	0.015415	0.021106
405	9	107	0.083333	0.048387	3	0.016085	0.020282
406	11	148	0.090909	0.06135	5	0.021737	0.029515
407	12	149	0.015152	0.011905	1	0.021935	0.028801
408	7	62	0	0	0	0.0091533	0.011677
409	11	97	0.090909	0.08547	5	0.016393	0.018561
410	8	82	0.10714	0.063158	3	0.011827	0.015399
411	9	90	0.11111	0.07767	4	0.012084	0.016544
412	9	135	0.027778	0.013514	1	0.019278	0.02652
413	7	95	0.095238	0.037037	2	0.013039	0.01738
414	35	296	0.030252	0.093023	18	0.061123	0.056582
415	9	123	0.083333	0.041667	3	0.022104	0.025088
416	11	127	0.036364	0.029412	2	0.021394	0.026564
417	14	168	0.043956	0.040201	4	0.032191	0.034697
418	6	73	0.2	0.067416	3	0.014717	0.016284
419	14	157	0.14286	0.13472	13	0.029937	0.031582
420	8	87	0.14286	0.079208	4	0.015156	0.017456
421	9	95	0.083333	0.053097	3	0.018665	0.021131
422	9	115	0.11111	0.061538	4	0.020176	0.024263
423	7	92	0.095238	0.038835	2	0.014877	0.019242
424	11	125	0.090909	0.065789	5	0.022637	0.025066
425	10	91	0.066667	0.059406	3	0.01457	0.018193
426	5	58	0.2	0.063492	2	0.0084707	0.011399
427	11	167	0.10909	0.06383	6	0.028444	0.033449
428	8	107	0.071429	0.032	2	0.018188	0.021284
429	9	91	0.11111	0.07767	4	0.015723	0.018841
430	8	122	0.071429	0.02963	2	0.020856	0.026122
431	12	148	0.10606	0.072165	7	0.026817	0.028987
432	35	298	0.052101	0.15857	31	0.063115	0.059091
433	11	121	0.12727	0.093333	7	0.020181	0.023449
434	7	88	0.095238	0.042105	2	0.011883	0.016283
435	8	103	0.10714	0.050847	3	0.016172	0.020746
436	14	161	0.076923	0.073684	7	0.02624	0.031841
437	11	98	0.14545	0.12698	8	0.01655	0.019149
438	15	132	0.047619	0.063694	5	0.02311	0.026511
439	13	165	0.038462	0.030457	3	0.027889	0.032015
440	5	51	0.2	0.070175	2	0.0080729	0.010571
441	14	175	0.098901	0.081081	9	0.030922	0.034206
442	23	215	0.043478	0.083019	11	0.040936	0.041826
443	8	76	0.17857	0.10989	5	0.011327	0.014333
444	9	73	0.11111	0.093023	4	0.011356	0.013983
445	11	154	0.036364	0.02439	2	0.022002	0.02927
446	7	79	0.19048	0.083333	4	0.012876	0.015648
447	10	113	0.13333	0.093023	6	0.017584	0.021922
448	9	117	0.055556	0.03125	2	0.018181	0.022657
449	14	141	0.10989	0.11429	10	0.029978	0.03126
450	13	158	0.10256	0.081218	8	0.032	0.033134
451	11	166	0.10909	0.057416	6	0.031549	0.034253
452	6	75	0.066667	0.024691	1	0.012145	0.015295
453	9	112	0.11111	0.060606	4	0.020943	0.023873
454	5	40	0	0	0	0.0063923	0.0084832
455	8	108	0	0	0	0.016188	0.022213
456	10	130	0.13333	0.076433	6	0.023263	0.027028
457	10	126	0.11111	0.065789	5	0.020672	0.024354
458	21	179	0.028571	0.057692	6	0.033681	0.036465
459	4	48	0.16667	0.039216	1	0.0070394	0.010064
460	11	143	0.036364	0.025641	2	0.022538	0.029034
461	12	153	0	0	0	0.024307	0.032237
462	12	174	0.060606	0.040404	4	0.028122	0.035244
463	7	102	0.14286	0.051724	3	0.016549	0.020581
464	6	101	0.2	0.053571	3	0.014675	0.019356
465	25	240	0.026667	0.056537	8	0.043768	0.045903
466	11	130	0	0	0	0.017167	0.024107
467	8	85	0.10714	0.065934	3	0.011634	0.015611
468	9	76	0.027778	0.024096	1	0.013178	0.015736
469	8	107	0.071429	0.033613	2	0.015286	0.020357
470	5	53	0.1	0.031746	1	0.0087753	0.01081
471	12	170	0.18182	0.11823	12	0.028767	0.034679
472	14	132	0.14286	0.14773	13	0.024914	0.026059
473	12	144	0.12121	0.096386	8	0.024982	0.029047
474	9	108	0.16667	0.096	6	0.017111	0.021187
475	10	130	0.22222	0.11905	10	0.020493	0.023795
476	11	128	0.12727	0.094595	7	0.018148	0.023374
477	6	72	0	0	0	0.0097552	0.013936
478	12	126	0.045455	0.044118	3	0.018339	0.023777
479	16	217	0.058333	0.051852	7	0.038503	0.043226
480	11	127	0.12727	0.088608	7	0.024346	0.025828
481	6	104	0.13333	0.033613	2	0.015595	0.02014
482	10	115	0.066667	0.049587	3	0.021147	0.025683
483	9	111	0.13889	0.076336	5	0.022345	0.024952
484	14	193	0.054945	0.045872	5	0.034775	0.040404
485	8	122	0.14286	0.057554	4	0.024762	0.028216
486	5	50	0	0	0	0.0074584	0.010456
487	12	157	0.060606	0.046512	4	0.027349	0.032184
488	7	101	0.095238	0.036364	2	0.018295	0.022038
489	11	133	0.018182	0.014706	1	0.022627	0.028753
490	8	128	0.035714	0.014925	1	0.019435	0.026185
491	12	117	0.10606	0.10448	7	0.021154	0.025088
492	9	111	0.083333	0.05042	3	0.017531	0.023305
493	6	70	0.066667	0.027778	1	0.0095177	0.013831
494	8	94	0.14286	0.076923	4	0.015831	0.020266
495	16	165	0.033333	0.043011	4	0.029307	0.033825
496	12	132	0.075758	0.069444	5	0.023959	0.02868
497	8	133	0.071429	0.026144	2	0.021837	0.026943
498	25	270	0.01	0.019169	3	0.050317	0.05423
499	10	123	0.044444	0.030075	2	0.018549	0.024404
500	14	204	0.021978	0.018182	2	0.032241	0.040656
501	9	103	0.11111	0.065041	4	0.017029	0.020825
502	22	255	0.04329	0.064309	10	0.044566	0.049608
